1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
CRC0282_vitroMA	0	0	0	0	0.254898096206571	0.158868267981943	0	0	0	0	0	0.112322335570401	0.0015525919624003	0.041075130940078	0.0269928518450546	0.133784793036264	0	0	0.0130887650653449	0.257417167391942	0	0	0	0	0	0	0	0	0	0
CRC1307_vitroMA	0	0.0176499870813404	0.264852223416998	0.0674713461292554	0	0	0	0.126775281984016	0.0859574978104877	0	0.0232501200595248	0.122331552347707	0.0216110647788925	0	0	0.189760820076452	0	0.0218545494928102	0	0	0	0.00462253362955559	0	0	0	0	0.00231445853877071	0	0.0384809101150667	0.013067654539123
CRC1502_vitroMA	0	0.0107363716964569	0.226940099746382	0	0	0	0.0103744475497748	0.29654517749147	0.0446989238404508	0.0156672067302987	0.0488808228601272	0.0187477263209738	0.00117510804476811	0	0	0.147936098024624	0	0.0976660687234416	0	0	0	0	0	0	0	0	0.0104859909978336	0	0.070145957973398	0
CRC1307_bulk	0.140256454725715	0	0.0819192136495225	0	0	0	0	0.260948454352522	0.138443702328492	0.00444182935601026	0.00013030179388812	0	0.0257295721586296	0.00559549885893461	0.0314622137299761	0.00640490071123449	0.260449407604448	0	0	0	0	0.000100883643152158	0	0.00554887517576532	0.035108750126838	0	0.00345994178487151	0	0	0
CRC1502_bulk	0.188144894198295	0.00560796832285427	0.238990728428277	0	0	0	0	0.0828995424931246	0.335776893223945	0	0	0	0.0512654142843441	0	0.00354993420258261	0.080978638487812	0	0	0	0	0	0	0	0	0.00803533193316647	0	0.00259821173529055	0.00215244269030854	0	0
CRC0282_bulk	0.13852419223435	0	0	0	0	0.349762019655169	0	0.034653046562913	0.163669222473208	0	0	0.172157744898027	0	0.0363665279992823	0.000132167328068051	0	0.0195971897957843	0	0	0	0	0	0	0	0.0548524105994429	0	0	0.0302854784537558	0	0
