lower	upper	mean	model
6.30377051916561e-09	7.426168451556e-09	6.86496948536081e-09	CRC0282
7.61203548028433e-10	1.17951438896658e-09	9.70358968497504e-10	CRC0327
6.15604044171056e-10	1.33201693270933e-09	9.73810488440192e-10	CRC0441
1.15573401135187e-09	1.98016591797947e-09	1.56794996466567e-09	CRC1502
4.38663317381184e-10	9.2643897252228e-10	6.82551144951732e-10	CRC1599PR
1.20551414697082e-09	1.95133541451918e-09	1.578424780745e-09	CRC1599LM
1.74161319538099e-09	2.53264467729293e-09	2.13712893633696e-09	CRC1078
2.6350499801124e-09	3.35084134674439e-09	2.9929456634284e-09	CRC1307
