	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
CRC2566LM-c1_private	0.0283074667454117	0.0	0.0	0.0	0.101276518493205	0.0	0.0	0.166232250388628	0.0437096121945497	0.0045295661397332	0.0	0.0	0.0059827110347645	0.0	0.0	0.569530000453492	0.0	0.060750192138538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0104879675409455	0.0	0.0091937148707327	0.0
CRC2566LM-c2_private	0.0403748938787092	0.0033598168173436	0.0166251791769587	0.0	0.347137098352964	0.0	0.0	0.0972256644825821	0.0	0.0082415707842957	0.0004623320820653	0.0525936241452522	0.0077328539693504	0.0	0.0	0.267643222686916	0.0	0.0309818252088771	0.0102815731780323	0.0	0.000526771635665	0.0	0.0	0.0	0.0	0.0238374680584938	0.0095759779371715	0.0	0.0135757394252528	0.0698243881800701
CRC2566LM-c3_private	0.0	0.0050252811070935	0.202101625863464	0.0	0.0	0.0	0.0	0.164901055194188	0.224572436493961	0.0	0.0	0.0201330484593435	0.0318270490830912	0.0317948602377864	0.0	0.15274788259068	0.0531804733400961	0.0594718740972457	0.0	0.0	0.0125557448756957	0.0	0.0	0.0	0.0	0.0	0.0048634109226629	0.0368252577346929	0.0	0.0
CRC2566LM-c4_private	0.0	0.0	0.232846142686044	0.0	0.0	0.0	0.0	0.0631419225401578	0.342862406614939	0.0	0.0108299186637866	0.0589123316579741	0.0330648409142285	0.0	0.0	0.192333377551107	0.023484642710212	0.0098850336758855	0.0	0.0	0.0007191960649151	0.0	0.0	0.0	0.0	0.0	0.014733201582476	0.0	0.0171869853382739	0.0
CRC2566LM_shared	0.174941288363502	0.0	0.0985338006097767	0.0	0.0	0.0	0.0	0.134994555451382	0.407982088326076	0.00044013250623	0.0	0.0304131071961515	0.0484284920685707	0.0	0.0	0.0	0.0034004188854106	0.0204952445347374	0.0	0.0	0.0	0.0108522108414521	0.0	0.0	0.0079902994026859	0.0	0.0081404183902828	0.0533879434237418	0.0	0.0
CRC2573LM-c1_private	0.0	0.0334033338392342	0.0439860487126636	0.0	0.0	0.0	0.0020543877519019	0.209594795435384	0.0847406468332512	0.0	0.0001978451158783	0.0392265733467349	0.0204596904060743	0.0	0.0	0.278037538281906	0.0	0.151603967069064	0.0	0.0	0.0	0.0087864018110742	0.0	0.0	0.0	0.0	0.0259522972624637	0.017860325946312	0.0	0.0840961481880574
CRC2573LM-c2_private	0.0	0.0	0.0167150552810504	0.0	0.0981452677050214	0.0	0.001807996437082	0.222220632881909	0.0	0.0148030916510772	0.0	0.09630009191842	0.0404887508276813	0.0340033798166395	0.0	0.280739542477811	0.0	0.0983798865738012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0139140116417303	0.0	0.0292022809776846	0.0532800118100923
CRC2573LM_shared	0.288973726051513	0.0076071624769771	0.0118106663417239	0.0	0.0	0.0	0.0	0.202785283917788	0.21501892303748	0.0217609957403909	0.0	0.0	0.0490420791923658	0.0	0.0650642849728766	0.0271597814669892	0.0501852345789991	0.0303029653090988	0.0	0.0	0.0	0.0	0.0	0.0	0.0187859977194617	0.0	0.0	0.0115028991943363	0.0	0.0
CRC2608PR-c1_private	0.0	0.0	0.0	0.0	0.0	0.130770749419421	0.0	0.0	0.0010038559562896	0.0	0.0	0.120890928506746	0.0	0.0977494497567588	0.220703655307546	0.0170603789136733	0.0084711656368064	0.0	0.0	0.0606136180837291	0.0	0.0	0.0	0.0	0.0	0.34273619841903	0.0	0.0	0.0	0.0
CRC2608PR-c2_private	0.0	0.0	0.0	0.0	0.141120251021136	0.190687154640923	0.0	0.0	0.0	0.0	0.0	0.0671855453752213	0.0	0.109467059388173	0.126734880657478	0.0124305599711816	0.0	0.0	0.0696867948659476	0.207312987023592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0753747670563478
CRC2608PR-c3_private	0.0	0.0	0.0	0.0	0.216546349838662	0.158052408946235	0.0	0.0	0.0	0.0	0.0	0.0014854893684719	0.0	0.0514500177626713	0.0633354640862409	0.0344347417405867	0.0	0.0	0.0850244496447005	0.277902996797149	0.0	0.0	0.0	0.0	0.0	0.0506672095849616	0.0	0.0	0.0	0.0611008722303206
CRC2608PR_shared	0.0432327066918196	0.0	0.0	0.0	0.0	0.383726566104122	0.0	0.0906104477602025	0.0698630193449533	0.0	0.0	0.116817382791142	0.0	0.0727134698136505	0.140270989958901	0.0072362010938698	0.0187639334230235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0409821245524111	0.0	0.0	0.0	0.0	0.0157831584659052
