1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
CRC0282_vitroMA	0	0	0.0773044986239845	0	0.0103736399724327	0.116085908776831	0	0.180323701556148	0	0	0	0.0289781940586825	0	0.145436955431321	0	0.136447204188216	0	0	0	0.294190159146259	0	0	0	0	0	0	0	0	0	0.0108597382461246
CRC0282-2nd_vitroMA	0	0	0.118122947447436	0	0	0.155436862996908	0	0.20594455325165	0	0	0	0	0	0.178713945710588	0	0.0190842311775201	0	0	0.00532461211848653	0.246655851849011	0	0	0	0	0	0	0	0	0	0.0707169954484014
CRC0327_vitroMA	0	0.00970726313494472	0.133162470311462	0.0405842686444151	0.00183704931336228	0	0	0.375255464399989	0.0257264356682224	0.0237424565748506	0.0153242695812569	0	0.0187125522246498	0.00330525512376328	0	0.0677049484345135	0	0.191866744524444	0	0	0	0	0.011271346056016	0	0	0	0.00181312257972183	0	0.0462495626735179	0.0337367907548705
CRC0441_vitroMA	0	0.00857881067138004	0.032628827261672	0.0792581552946021	0	0	0.00767405906881911	0.338587874530957	0.0146289016576556	0	0.00135630948855111	0	0.0115793397100335	0.073857787793658	0	0.137984803800269	0	0.253179241224837	0	0.03744782357851	0	0	0	0	0	0	0.00323806591905559	0	0	0
CRC1078_vitroMA	0	0.0157587769657443	0.102189044282583	0.152653181465639	0	0	0.0143277042969148	0.321364622078338	0.00120361299318248	0	0.0130898760667536	0	0.0132159148991734	0	0	0.0833660520248459	0.00252254282784833	0.240048609644881	0	0.0200126879038967	0	0	0	0	0	0	0.00287773627917022	0.0173696382710289	0	0
CRC1078-2nd_vitroMA	0	0.00374026593117731	0	0.240764148741892	0	0	0.00428323989013641	0.350254603800972	0	0	0	0	0.0201652491370147	0	0	0.0847827062996457	0	0.265601298170364	0	0.0184343770059704	0	0	0	0	0	0	0	0.0119741110228277	0	0
CRC1307_vitroMA	0	0.0136600882735592	0.235341025971522	0.04689246447973	0.0143413460129717	0	0.0175890058144924	0.175935615841944	0.0727287186363608	0	0.00572136281864716	0.100189026802865	0.0191086911408402	0	0	0.159219428531553	0	0.0684526487124089	0	0	0	0.00316868780129187	0.0104079840851043	0	0	0	0.00329211469690018	0.00471108671260971	0.0330359565099563	0.0162047471572434
CRC1307-2nd_vitroMA	0	0.0131033128208574	0.276950252872483	0.0670063103197037	0	0	0.00173340699347633	0.213260719930949	0.0716245161508837	0	0.00274718596369822	0.0501212860650793	0.0136657558696112	0	0	0.145088286913184	0	0.107855711873777	0	0	0	0	0	0	0	0	0.00249857358812711	0.00779017341553306	0	0.0265545072226366
CRC1502_vitroMA	0	0.0197741878279152	0.131192646841673	0.0478024342797267	0	0	0.005219311504343	0.37061846511989	0.06611158655147	0.00615229876308453	0.0279227099016614	0.0241089025240714	0.0183280392886765	0.00142386533474278	0	0.109438520974346	0	0.133202088241125	0	0	0	0	0	0	0	0	0.00497777751794312	0	0.0337271653293309	0
CRC1502-2nd_vitroMA	0	0.00767864558598256	0.0833845302133254	0.0626928598688521	0	0	0	0.396662641678372	0.0672079136683416	0.00752601586388688	0.0233321852770461	0.0127729400072353	0.0138381149309399	0.00345676873915986	0	0.0980758675678016	0	0.172766041619764	0	0	0	0	0	0	0	0	0.00267216173221332	0.00173141149111778	0.0438277574828374	0.00237414427312429
CRC1599LM_vitroMA	0	0.0346040616253096	0.0951972203543824	0.137269803811009	0	0	0	0.282087099345525	0.00959624106492268	0	0.0168018314767996	0	0.0172569585667983	0.0347411388314736	0	0.00561792691206938	0	0.321207182090283	0	0.0278273493415181	0	0	0	0	0	0	0	0.00116804492360559	0.0166251416563046	0
CRC1599LM-2nd_vitroMA	0	0.014582511889866	0	0.183182089174857	0	0	0	0.328922273954336	0	0.00586238854528193	0.00718571417951471	0	0.0150677184790536	0.0592605294299692	0	0	0	0.382084333528788	0	0.00321033366852666	0	0	0	0	0	0	0	0.000642107149807308	0	0
CRC1599PR_vitroMA	0	0.0504826681351575	0.0391618172447799	0.0563647282797672	0	0	0	0.421291871283862	0.0316314354423793	0.00041347183776477	0	0	0.0563725081865129	0.00695107193339208	0	0.103158824884605	0	0.0967553736920228	0	0	0	0	0.0112646041389757	0	0	0	0.00407711167608392	0	0.0281028563924247	0.0939716568722716
CRC0282_vivoMA	0	0	0.0219167702030747	0	0.0293828538916073	0.226695060928129	0	0.103627089338306	0	0	0	0.113495525228439	0	0.106935226850742	0	0.138216615201783	0.00142516422390235	0	0	0.241437756504914	0	0	0	0	0	0.00965945318362091	0	0	0	0.00720848444548206
CRC0327_vivoMA	0	0.00778590523426828	0.0373270037056317	0.0298968571763543	0	0	0	0.473680269704513	0.0581341748772803	0.0298615406890754	0.0134174668745695	0	0.0225366390185106	0.0208330826365922	0	0	0	0.202886073342557	0	0.00943460139962959	0	0	0.00676875504678288	0	0	0	0.00284599400192364	0	0.0718128517406684	0.0127787845516438
CRC0327-2nd_vivoMA	0	0.0181474383138782	0.0160871175123288	0.0214569201446605	0.0390139585134862	0	0	0.466815116490152	0.0572833410899056	0.0298409587241807	0.0248699498906342	0	0.02686313338284	0.011778797732319	0	0.00489363547610646	0	0.18951683631112	0	0.00064899580218717	0	0	0.000757385369661031	0	0	0	0.00186127928015689	0	0.0899558310406703	0.000209304925712859
CRC0441_vivoMA	0	0.00665007746554125	0	0.0781760498597048	0	0	0	0.315925608833281	0.0117766767545949	0	0	0	0	0.0620332064000972	0	0.0544597935199403	0	0.338869413325425	0	0.118350270898512	0	0	0	0	0	0	0	0.0137589029429031	0	0
