1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
CRC0282_vitroMA	0	0	0	0	0.443872536979157	0.14643932817874	0	0.0214211212736489	0.0662746892829789	0	0	0.0781912935592858	0.00381218152415605	0.039758588175645	0	0	0	0	0	0.151969118506152	0	0	0	0	0	0	0	0.0300003943394571	0	0.0182607481807794
CRC0282-2nd_vitroMA	0	0	0.0554222448272965	0	0.41552697679583	0.24453970287587	0	0.0105013945875592	0.021734821416837	0	0	0	0	0.0359803597088752	0	0	0	0	0.00331477016078773	0.109215681470527	0	0	0	0	0	0	0	0.0170508704526755	0	0.0867131777037422
CRC0327_vitroMA	0	0.0118885164122225	0.211968092196025	0	0.170884847395285	0	0	0.318863727780697	0.0596190423093054	0.0240063852656208	0.0232404465235455	0.00610828708947856	0.0206421393947246	0	0	0.0113103110993018	0	0.104525764748608	0	0	0	0	0.00367639553926482	0	0	0	0	0.000393981130863248	0.0249509291833494	0.00792113393170823
CRC0441_vitroMA	0	0.00898341772694163	0.144798726995005	0	0	0	0.00384817162554752	0.319763976557017	0.111394473746463	0.00462300883487892	0.00220986695290754	0	0.0151580389959474	0.0615328451854793	0	0.100418489274885	0.00329170041158941	0.179132470547878	0	0.0412824517546811	0	0	0	0	0	0	0.00356236139077996	0	0	0
CRC1078_vitroMA	0	0.013551210531643	0.121790927087242	0.0993239441196757	0	0	0.0200310815545601	0.291748415926052	0.0222027990358155	0	0.0166855437858825	0.0170689603850032	0.0166104502956397	0	0	0.107146430160322	0.0189768378143839	0.212941194489618	0	0.0305936540762702	0	0	0	0	0	0	0.00200735538074512	0.00932119535714633	0	0
CRC1078-2nd_vitroMA	0.00261976958647509	0.0155139685843001	0.0971496572442336	0.0809141357523031	0	0.0454564831428963	0	0.271223154434534	0.0792617123347267	0	0.0263984455957243	0.0342602720254859	0.0232806839120977	0	0	0.207519185688894	0	0.0973719470056022	0	0.00329301745760285	0	0	0	0	0	0	0.00229641599117044	0	0.0134411512439542	0
CRC1307_vitroMA	0	0.0144715566612317	0.247032654555247	0.041793468344986	0.0546024653281435	0	0.0152655520884294	0.177724724522718	0.118129334533153	0	0.00384151781539794	0.0856863567176274	0.0231663428995798	0	0	0.135183489608434	0	0.0404912403779778	0	0	0	0.000317318055398278	0.00152764515649998	0	0	0	0.00350384319067548	0.00944336783257313	0.0260107303313278	0.00180839198059944
CRC1307-2nd_vitroMA	0	0.0128881677041617	0.336667422692594	0	0.105550612146011	0.00214916245079394	0	0.15699333635268	0.100389669903737	0	0.00594569563958311	0.0479233764414892	0.016491427766265	0	0	0.117545664260759	0	0.0684031383268212	0	0	0	0.000122761450123712	0	0	0	0	0.00362569542432268	0.00262796196416231	0.000139893220945018	0.0225360142555512
CRC1502_vitroMA	0	0.0215992451334032	0.183506398150407	0.0125232922393636	0	0	0.00150679354256688	0.320507291346427	0.0890864508454901	0.0109919239739819	0.0226743687745116	0.0440981770403393	0.0216199966085981	0.0100712606236254	0	0.127385627066658	0	0.0787661135466801	0	0	0	0	0	0	0	0	0.00756907637707713	0.00608135084412898	0.0291690305784255	0.0128436033083158
CRC1502-2nd_vitroMA	0	0.00797498467371048	0.163180425339735	0	0.0506006865563521	0	0	0.311627810268715	0.0823231724046278	0.00908117182256008	0.0230801610096726	0.0336027292196337	0.0216823471036059	0.00743340871363702	0	0.144763954770743	0	0.0912059817116021	0	0	0	0	0	0	0	0	0.00734322724361832	0	0.0183964306733912	0.0277035084883957
CRC1599LM_vitroMA	0	0.033408297808953	0.144187979447992	0.108566163151697	0	0	0	0.26230262559107	0.0494041268093551	0.00795038728589362	0.0110557316096684	0	0.018377198195431	0.0508507399523784	0	0.00449150586191733	0	0.257183402823149	0	0.0354707803946872	0	0	0	0	0	0	0	0.00309320189186799	0.0136578591759392	0
CRC1599LM-2nd_vitroMA	0	0.0174826767868225	0.107997160548305	0.0696281223848451	0	0	0	0.335279484738058	0.0514352396888433	0.016164783048365	0.0234044948499751	0	0.018860125268343	0.0299941670559527	0	0	0	0.294935020683258	0	0.0348187249472317	0	0	0	0	0	0	0	0	0	0
CRC1599PR_vitroMA	0.00216490675158136	0.0460168660770495	0.0137380669468742	0.00103257359266399	0.133248757741991	0.0111593905781513	0	0.44414417762928	0.112487682594387	0.0105653334887724	0.00964144290824988	0	0.0509014707098085	0.0112564259702528	0	0	0	0.0592034266653522	0	0	0	0	0	0	0	0	6.01643409085663e-05	0.0087995430639324	0.0381909535262908	0.0473888174144552
CRC0282_vivoMA	0	0	0	0	0.248807809524438	0.223833126539843	0	0	0.0853262120772247	0	0	0.201059319511611	0	0.0248984039504601	0	0	0	0	0	0.142168549274261	0	0	0	0	0.0334253795497853	0	0	0.0329860911860926	0	0.00749510838628405
CRC0327_vivoMA	0	0.0120074573351942	0.120344903276869	0	0.163629697159602	0.0203085911863314	0	0.367139612660738	0.0605603985487888	0.0314287302440577	0.0164254112920275	0.0319811198351483	0.0280031628513323	0	0	0	0	0.0782418772365067	0	0	0	0	0	0	0	0	0	0.0054103362592618	0.032910914258288	0.0316077878558554
CRC0327-2nd_vivoMA	0.00433633381886962	0.018456113716363	0.0790029703215517	0	0.244998654073819	0.0249535237897074	0	0.320800167958129	0.0761062457291998	0.0311451019606978	0.016592894682175	0.0300876967905872	0.0342778512546907	0	0	0	0	0.0606782417308354	0	0	0	0	0	0	0	0	0	0.00171234365980428	0.0288030752665792	0.028048785246991
