Campione	sample	Concentrazione	Conta totale	Data prelievo	Data analisi	Positività EDU (%)	Stima divisioni in 24h	T
CRC1502 CLONE 9 - 1°100	CRC1502-09	265000	530000	2019/06/10	2019/06/14	32.28571	2.5828568	1
CRC1502 CLONE 10 - 1°100	CRC1502-10	300000	600000	2019/06/10	2019/06/14	31.42857	2.5142856	1
CRC1502 CLONE 9 - 2°100	CRC1502-09	62500	375000	2019/07/11	2019/07/12	34.85714	2.7885712000000002	1
CRC1502 CLONE 10 - 2°100	CRC1502-10	47500	285000	2019/07/11	2019/07/12	35.14286	2.8114288	1
CRC1502 CLONE 3 - 2°100	CRC1502-03	115000	690000	2019/07/15	2019/07/17	32.57143	2.6057144	1
CRC1502 CLONE 8 - 2°100	CRC1502-08	110000	660000	2019/07/15	2019/07/17	23.42857	1.8742856	1
CRC1502 CLONE 3 BULK	CRC1502-03			2019/07/12	2019/07/26	44.28571	3.5428568	1
CRC1502 CLONE 8 BULK	CRC1502-08			2019/07/12	2019/07/26	26.28571	2.1028568	1
CRC1502 CLONE 9 BULK	CRC1502-09			2019/07/12	2019/07/26	35.71429	2.8571432	1
CRC1502 CLONE 10 BULK	CRC1502-10			2019/07/12	2019/07/26	42.85714	3.4285712	1
CRC1502 CLONE 3 EDU 3 MESI 	CRC1502-03	955000	3820000	2019/09/09	2019/10/17	24.85714	1.9885712	1
CRC1502 CLONE 8 EDU 3 MESI 	CRC1502-08	97500	390000	2019/09/09	2019/10/17	24.57143	1.9657144	1
CRC1502 CLONE 9 EDU 3 MESI 	CRC1502-09	470000	1880000	2019/09/09	2019/10/17	19.14286	1.5314287999999998	1
CRC1502 CLONE 10 EDU 3 MESI 	CRC1502-10	535000	2140000	2019/09/09	2019/10/17	22.85714	1.8285712	1
CRC0327 CLONE 2 - 2°100	CRC0327-02	240000	960000	2019/07/01	2019/07/03	44.8571428571429	3.5885714285714316	1
CRC0327 CLONE 8 - 2°100	CRC0327-08	157500	630000	2019/07/01	2019/07/03	38.5714285714286	3.0857142857142876	1
CRC0327 CLONE 4 - 1°100	CRC0327-04	140000	560000	2019/07/04		22.0833333333333	1.766666666666664	1
CRC0327 CLONE 2 BULK	CRC0327-02			2019/07/12	2019/07/26	41.7142857142857	3.3371428571428563	1
CRC0327 CLONE 4 BULK	CRC0327-04			2019/07/12	2019/07/26	28	2.24	1
CRC0327 CLONE 8 BULK	CRC0327-08			2019/07/12	2019/07/26	30.2857142857143	2.422857142857144	1
CRC0327 CLONE 8 EDU 3 MESI 	CRC0327-08	237500	475000	2019/09/16	2019/10/17	28.8571428571429	2.308571428571432	1
CRC0327 CLONE 4 EDU 3 MESI	CRC0327-04	265000	795000	2019/09/30	2019/10/17	24	1.92	1
CRC1307 CLONE 2B BULK		395000	1580000	2019/11/19	2019/12/19	17.1428571428571	1.3714285714285679	2
CRC1307 CLONE 8D BULK		427000	1708000	2019/11/19	2020/01/15	21.7142857142857	1.737142857142856	2
CRC1307 CLONE 9E BULK		637500	5100000	2019/11/19	2019/12/19	37.4285714285714	2.994285714285712	2
CRC1307 CLONE 2B EDU 1°100		225000	225000	2019/11/19	2019/12/19	28.8571428571429	2.308571428571432	2
CRC1307 CLONE 9E EDU 1°100		275000	275000	2019/11/19	2019/12/19	28.5714285714286	2.2857142857142883	2
CRC1307 EDU BULK CLONE 2B -  2°GIRO		190000	760000	2019/12/16	2020/02/06	12.2857142857143	0.9828571428571441	2
CRC1307 EDU BULK CLONE 8D-  2°GIRO		280000	1120000	2019/12/16	2020/02/06	4.28571428571429	0.3428571428571432	2
CRC1307 CLONE 2B EDU - 2°100		240000	720000	2019/12/17	2020/01/15	5.71428571428571	0.4571428571428568	2
CRC1307 CLONE 8D EDU - 2°100		582500	1747500	2019/12/17	2020/01/15	12.2857142857143	0.9828571428571441	2
CRC1307 CLONE 9E EDU - 2°100		600000	1800000	2019/12/17	2020/01/23	8.28571428571429	0.6628571428571433	2
